English,Sinhala
Personal data processing,පුද්ගලික දත්ත සැකසීම
Processing of personal data,පුද්ගලික දත්ත සැකසීම
Data subject rights,දත්ත හිමිකරුගේ අයිතිවාසිකම්
Right of access,ප්‍රවේශ අයිතිය
Right to erasure,මකා දැමීමේ අයිතිය
Lawful processing,නීතිමය සැකසීම
Data protection authority,දත්ත ආරක්ෂණ අධිකාරිය
Cross border data transfer,දේශසීමා අතර දත්ත මාරු කිරීම
Data protection obligations,දත්ත ආරක්ෂණ වගකීම්
Personal data breach,පුද්ගලික දත්ත උල්ලංඝනය
Data protection officer,දත්ත ආරක්ෂණ නිලධාරියා
Data processing activities,දත්ත සැකසුම් ක්‍රියාවලි
Technical measures,තාක්ෂණික ක්‍රියාමාර්ග
Organizational measures,සංවිධානමය ක්‍රියාමාර්ග
Automated decision making,ස්වයංක්‍රීය තීරණ ගැනීම
Written request,ලිඛිත ඉල්ලීම
Legal framework,නීතිමය රාමුව
Public authority processing,පොදු අධිකාරිය විසින් දත්ත සැකසීම
Third party services,තෙවන පාර්ශව සේවාවන්
Personal data protection,පුද්ගලික දත්ත ආරක්ෂාව
Data retention period,දත්ත රඳවා තබාගැනීමේ කාලය
Data security measures,දත්ත ආරක්ෂණ ක්‍රියාමාර්ග
Consent of the data subject,දත්ත හිමිකරුගේ සහමතය
Data processing purpose,දත්ත සැකසීමේ අරමුණ
Confidential information,රහස්‍ය තොරතුරු
Data transfer conditions,දත්ත මාරු කිරීමේ කොන්දේසි
Legal obligations,නීතිමය වගකීම්
Regulatory requirements,නියාමන අවශ්‍යතා
Special categories of personal data,විශේෂ ප්‍රභේදවල පුද්ගලික දත්ත
Conditions for lawful processing,නීතිමය සැකසීම සඳහා කොන්දේසි
Purpose of data processing,දත්ත සැකසීමේ අරමුණ
Further processing of data,දත්ත අතිරේක සැකසීම
Public interest purposes,මහජන හිතය අරමුණු
Scientific research purposes,විද්‍යාත්මක පර්යේෂණ අරමුණු
Statistical purposes,සංඛ්‍යාත්මක අරමුණු
Data accuracy requirements,දත්ත නිවැරදිතාව අවශ්‍යතා
Technical safeguards,තාක්ෂණික ආරක්ෂක ක්‍රියාමාර්ග
Organizational safeguards,සංවිධානමය ආරක්ෂක ක්‍රියාමාර්ග
Unauthorized processing,අනුමත නොකළ සැකසීම
Loss or destruction of data,දත්ත නැතිවීම හෝ විනාශය
Transparent communication,පැහැදිලි සන්නිවේදනය
Internal control mechanisms,අභ්‍යන්තර පාලන යාන්ත්‍රණ
Complaint handling mechanism,පැමිණිලි හසුරුවීමේ ක්‍රමය
Data breach identification,දත්ත උල්ලංඝන හඳුනාගැනීම
Periodic assessment process,කාලාන්තර ඇගයීමේ ක්‍රියාවලිය
Exercise of data subject rights,දත්ත හිමිකරුගේ අයිතිවාසිකම් ක්‍රියාත්මක කිරීම
Refusal of request,ඉල්ලීම ප්‍රතික්ෂේප කිරීම
Legal grounds for refusal,ප්‍රතික්ෂේප කිරීමට නීතිමය හේතු
Verification of identity,අනන්‍යතාව තහවුරු කිරීම
Submission of additional information,අතිරේක තොරතුරු ඉදිරිපත් කිරීම
Automated processing decision,ස්වයංක්‍රීය සැකසීම මත තීරණය
Review of automated decision,ස්වයංක්‍රීය තීරණ සමාලෝචනය
Joint controllers responsibility,සම පාලකයන්ගේ වගකීම
Contractual obligations,කොන්ත්‍රාත් වගකීම්
Data processing agreement,දත්ත සැකසීමේ ගිවිසුම
Sub processor involvement,අනු සැකසුම්කරුවන්ගේ සහභාගීත්වය
Access to computer systems,පරිගණක පද්ධති වෙත ප්‍රවේශය
Information held in storage media,ගබඩා මාධ්‍යවල තොරතුරු
Unauthorised modification of programmes,වැඩසටහන් අනවසරයෙන් වෙනස් කිරීම
Damage to computer systems,පරිගණක පද්ධති වලට හානි
Potential damage to data,දත්ත වලට ඇති විය හැකි හානි
Reliability of information,තොරතුරු විශ්වාසනීයභාවය
Destruction or deletion of data,දත්ත විනාශ කිරීම හෝ මකා දැමීම
Addition or alteration of information,තොරතුරු එකතු කිරීම හෝ වෙනස් කිරීම
Use of computer processing services,පරිගණක සැකසුම් සේවා භාවිතය
Storage and retrieval of data,දත්ත ගබඩා කිරීම සහ ලබාගැනීම
Introduction of malicious programs,හිතාමතා දෝෂකාරී වැඩසටහන් ඇතුළත් කිරීම
Falsification of computer data,පරිගණක දත්ත වංචා කිරීම
Function causing system damage,පද්ධතියට හානි කරන ක්‍රියාකාරීත්වය
Impairment of system operation,පද්ධතියේ ක්‍රියාකාරීත්වයට බාධා කිරීම
Electronic communication interception,විද්‍යුත් සන්නිවේදන අතුරුග්‍රහණය
Subscriber information access,ග්‍රාහක තොරතුරු වෙත ප්‍රවේශය
Traffic data interception,දත්ත ගමනාගමනය අතුරුග්‍රහණය
Electromagnetic signal monitoring,විද්‍යුත් චුම්බක සංඥා නිරීක්ෂණය
Import or export of illegal devices,නීතිවිරෝධී උපාංග ආනයනය හෝ අපනයනය
Distribution of access credentials,ප්‍රවේශ තොරතුරු බෙදාහැරීම
Provision of access tools,ප්‍රවේශ මෙවලම් සැපයීම
Entrusted access information,භාරදෙන ලද ප්‍රවේශ තොරතුරු
Breach of contractual confidentiality,කොන්ත්‍රාත් රහස්‍යතාව උල්ලංඝනය
