English,Sinhala
Data,දත්ත
Data Subject,දත්ත හිමිකරු
Law,නීතිය
Right,අයිතිය
Access,ප්‍රවේශය
Erasure,මකා දැමීම
Retention,රඳවා තබාගැනීම
Transfer,මාරු කිරීම
Third Party,තෙවන පාර්ශවය
Request,ඉල්ලීම
Information,තොරතුරු
Purpose,අරමුණ
Monitoring,නිරීක්ෂණය
Protection,ආරක්ෂණය
Regulation,නියාමනය
Framework,රාමුව
Breach,උල්ලංඝනය
Safeguard,ආරක්ෂක ක්‍රියාමාර්ගය
Anonymisation,නාම රහිතකරණය
Identification,හඳුනාගැනීම
Record,වාර්තාව
Decision,තීරණය
Service,සේවාව
Public Authority,පොදු අධිකාරිය
Minister,අමාත්‍යවරයා
Processing Activity,සැකසුම් ක්‍රියාවලිය
Act,පනත
Provision,විධිවිධානය
Section,වගන්තිය
Condition,කොන්දේසිය
Purpose limitation,අරමුණු සීමා කිරීම
Adequacy,ප්‍රමාණවත් බව
Relevance,අදාළ බව
Proportionate,සමානුපාතික
Incompatibility,අසංගතතාව
Lawfulness,නීතිමයභාවය
Feasibility,සම්භාව්‍යතාව
Identity,අනන්‍යතාව
Guardian,භාරකරු
Minor,අප්‍රාප්ත වයස්කරු
Heir,වංශජයා
Court Order,අධිකරණ නියෝගය
National Security,ජාතික ආරක්ෂාව
Public Order,මහජන සාමය
Criminal Offence,අපරාධය
Investigation Procedure,විමර්ශන ක්‍රියාවලිය
Audit,විගණනය
Compensation,වන්දි
Appeal Court,අභියාචනා අධිකරණය
Board of Directors,අධ්‍යක්ෂ මණ්ඩලය
Chairperson,සභාපති
Director General,ප්‍රධාන නිලධාරී
Licence,අවසරපත්‍රය
Regulatory Body,නියාමන ආයතනය
Data Breach Notification,දත්ත උල්ලංඝන දැනුම්දීම
Impact Assessment,බලපෑම් ඇගයීම
Jurisdiction,අධිකරණ බලය
Offender,වැරදිකරු
Conviction,දඩුවම් තීරණය
Imprisonment,සිරදඩුවම
Fine,දඩය
Liability,වගකීම
Certification,සහතික කිරීම
Gazette,ගැසට් පත්‍රය
Order,නියෝගය
Prevention,වැළැක්වීම
Damage,හානි
Loss,අලාභය
Access Code,ප්‍රවේශ කේතය
Password,මුරපදය
Device,උපාංගය
Program,වැඩසටහන
Transmission,ප්‍රේෂණය
Interception,අතුරුග්‍රහණය
Seizure,අත්අඩංගුවට ගැනීම
Warrant,අධිකරණ අවසරය
Magistrate,මහේස්ත්‍රාත්වරයා
Evidence Record,සාක්ෂි වාර්තාව
Compensation Order,වන්දි නියෝගය
Cyber,සයිබර්
Infrastructure,යටිතලය
Incident,සිද්ධිය
Threat,තර්ජනය
Strategy,උපායමාර්ගය
Policy,ප්‍රතිපත්තිය
Standard,ප්‍රමිතිය
Guideline,මාර්ගෝපදේශය
Ecosystem,පද්ධති පරිසරය
Resilience,ප්‍රතිරෝධකතාව
Assessment,ඇගයීම
Indicator,සංඥාව
Detection,හඳුනාගැනීම
Response,ප්‍රතිචාරය
Coordination,සම්බන්ධීකරණය
Collaboration,සහයෝගිතාව
Provider,සපයන්නා
Malware,හානිකර මෘදුකාංගය
Client,ග්‍රාහකයා
Accreditation,අනුමත කිරීම
Accredited,අනුමත වූ
Vulnerability,දුර්වලතාව
Penetration,ඇතුල්වීම
Forensics,සයිබර් සාක්ෂි විද්‍යාව
Consultation,උපදේශනය
Operation,මෙහෙයුම
Centre,මධ්‍යස්ථානය
