English,Sinhala
This Act shall apply to the processing of personal data,මෙම පනත පුද්ගලික දත්ත සැකසීමට අදාළ වේ
Every controller shall process personal data lawfully,සෑම පාලකයෙකුම පුද්ගලික දත්ත නීතිමය ලෙස සැකසිය යුතුය
Personal data shall be collected for specific purposes,පුද්ගලික දත්ත නියමිත අරමුණු සඳහා එකතු කළ යුතුය
Personal data shall not be used beyond its purpose,පුද්ගලික දත්ත එහි අරමුණට පිටත භාවිතා නොකළ යුතුය
Every controller shall ensure data accuracy,සෑම පාලකයෙකුම දත්ත නිවැරදිතාව සහතික කළ යුතුය
Personal data shall be kept up to date,පුද්ගලික දත්ත යාවත්කාලීනව තබාගත යුතුය
Personal data shall be retained only as necessary,පුද්ගලික දත්ත අවශ්‍ය ප්‍රමාණයට පමණක් රඳවා තබාගත යුතුය
Appropriate security measures shall be implemented,සුදුසු ආරක්ෂක ක්‍රියාමාර්ග ක්‍රියාත්මක කළ යුතුය
Unauthorized access shall be prevented,අනුමත නොකළ ප්‍රවේශය වලක්වාගත යුතුය
Data subjects shall be informed clearly,දත්ත හිමිකරුවන්ට පැහැදිලිව දැනුම් දිය යුතුය
A data subject may request access to data,දත්ත හිමිකරුවෙකුට දත්ත වෙත ප්‍රවේශය ඉල්ලා සිටිය හැක
A data subject may withdraw consent at any time,දත්ත හිමිකරුවෙකුට ඕනෑම වේලාවක සහමතය ඉවත් කළ හැක
A controller shall respond within a reasonable time,පාලකයා සාධාරණ කාලයක් තුළ ප්‍රතිචාර දිය යුතුය
The controller shall provide requested information,පාලකයා ඉල්ලූ තොරතුරු ලබා දිය යුතුය
The Authority shall monitor compliance,අධිකාරිය අනුකූලතාව නිරීක්ෂණය කරයි
The Authority may issue directives,අධිකාරිය උපදෙස් නිකුත් කළ හැක
Data may be transferred under certain conditions,නියමිත කොන්දේසි යටතේ දත්ත මාරු කළ හැක
Processing shall respect data subject rights,සැකසීම දත්ත හිමිකරුගේ අයිතිවාසිකම් සම්මාන කළ යුතුය
A controller shall implement internal controls,පාලකයෙකු අභ්‍යන්තර පාලන ක්‍රම ක්‍රියාත්මක කළ යුතුය
Complaints shall be handled appropriately,පැමිණිලි සුදුසු ලෙස හසුරවිය යුතුය
This Act shall not apply to personal or household data processing,මෙම පනත පුද්ගලික හෝ ගෘහස්ථ දත්ත සැකසීම සඳහා අදාළ නොවේ
The provisions of this Act shall prevail over other laws,මෙම පනතේ විධිවිධාන වෙනත් නීතිවලට වඩා ප්‍රමුඛ වේ
Personal data shall be processed for explicit purposes,පුද්ගලික දත්ත පැහැදිලි අරමුණු සඳහා සැකසිය යුතුය
Further processing shall not be incompatible with original purpose,අතිරේක සැකසීම මුල් අරමුණට අසංගත නොවිය යුතුය
Personal data shall be adequate and relevant,පුද්ගලික දත්ත ප්‍රමාණවත් සහ අදාළ විය යුතුය
Every reasonable step shall be taken to correct inaccurate data,අසත්‍ය දත්ත නිවැරදි කිරීමට සාධාරණ සියලු පියවර ගත යුතුය
Data shall be stored only for necessary duration,දත්ත අවශ්‍ය කාල සීමාව තුළ පමණක් ගබඩා කළ යුතුය
Appropriate measures shall prevent unlawful processing,අනීතිමය සැකසීම වැළැක්වීමට සුදුසු ක්‍රියාමාර්ග ගත යුතුය
Controllers shall provide information in a clear manner,පාලකයන් පැහැදිලි ආකාරයෙන් තොරතුරු ලබා දිය යුතුය
Internal procedures shall be implemented for compliance,අනුකූලතාව සඳහා අභ්‍යන්තර ක්‍රියාමාර්ග ක්‍රියාත්මක කළ යුතුය
Data subjects shall be able to exercise their rights,දත්ත හිමිකරුවන්ට තම අයිතිවාසිකම් භාවිතා කළ හැකි විය යුතුය
